Numéro de la tâche,Date de création de la tâche,Nom de la personne initiatrice de la tâche,Site de réalisation de la tâche,Nature de la tâche,Description de la tâche,Date de début de la tâche,Durée estimée en heure(s) ou journée(s),Nombre de personnes souhaitées,Service N°1 mandaté pour la réalisation de la tâche,Service N°2 mandaté pour la réalisation de la tâche,Service N°3 mandaté pour la réalisation de la tâche
T_P1321,46093,Stéphanie Debeil,CPAS,Entretien général,"rue J Menin : Refixer toutes les barres de tenture.
-Recoller les carrelages de crédence de la SDB (baignoire)
-Analyser les murs de SDB (humidité+++)",46093,,1,Vincent,,
T_P1327,46101,Stéphanie Debeil,CPAS,Entretien général,Réparer chauffage chambre 114/3 + moisissure toujours présente autour des châssis des velux et ce malgré une ventilation régulièr,46101,,1,Vincent,,
T_P1326,46101,Stéphanie Debeil,CPAS,Entretien général,Changer barillet boîte au lettre Jean Menin et 114/2,46101,,1,Vincent,,
T_P1331,46115,Stéphanie Debeil,CPAS,Entretien général,"114/1: La vanne thermostatique du salon/cuisine est déficiente.  Et 114/3: L'évacuation du ""trop plein"" de la baignoire présenterait une fuite",46115,1,1,Vincent,,
T_P1262,46002,Hicham El Hariri,Roseraie,Entretien général,N° 22 : humidité plafond WC,46002,,1,Vincent,,
T_P1265,46002,Hicham El Hariri,Roseraie,Entretien général,N° 41 : humidité constaté dans les coins,46002,,1,Vincent,,
T_P1266,46002,Hicham El Hariri,Roseraie,Entretien général,N° 24 : humidité vien dhez les voisins,46002,,1,Vincent,,
T_P1290,46042,Hicham El Hariri,Roseraie,Entretien général,N° 41 : Laura ->passer voir voir l'humidité qui apparait sur le mur du salon; mur qui sépare le salon et la salle de bain. merci,46042,,1,Vincent,,
T_P1304,46055,Hicham El Hariri,Roseraie,Entretien général,N° 12 : les moulures du plafond sont écaillées et des bêtes noires (des petites et beaucoup) sortent des fissures en venant du plafond… merci d'aller voir ,46055,,1,Vincent,,
T_P1303,46055,Hicham El Hariri,Roseraie,Entretien général,N° 23 : le carrelage de la cuisine se décolle. Merci de faire le nécessaire. ,46055,,1,Vincent,,
T_P1308,46069,Hicham El Hariri,Roseraie,Plomberie,"N° 24 Chemin du bon dieu : l'égoût est toujours bouché, 
Madame a mis 7 bouteilles de déboucheurs c'est déjà mieux mais ça s'écoule lentement.",46069,,,Vincent,,
T_P1312,46079,Hicham El Hariri,Roseraie,Entretien général,"Roseraie 6 : Fuite d'eau dans le débarras, verifier les tuiles defectu. !!! ",46079,,1,Vincent,,
T_P1311,46079,Hicham El Hariri,Roseraie,Entretien général,"Roseraie 18:
1.	Déchets dans le jardin à débarrasser (selon la propriétaire c'est le reste de l'ancien locataire et des travaux) - Merci de vérifier 
2.	Alarme incendie qui se déclenche tout le temps - merci de vérifier 
3.	Moustiquaire à placer (attendre les infos car le placement sera gratuit  mais le matériel sera facturé à la locataire -à vérifier après )
4.	Madame veut planter des oignons apparemment mais elle ne peut pas ",46079,,1,Vincent,,
T_P1313,46079,Hicham El Hariri,Roseraie,Entretien général,"Chemin du Bon dieu 14:
1.	Gros trou dans la chambre - suite aux travaux des chauffagistes
2.	Fixer l'aspirateur (idem N°3 de la roseraie 18) ",46079,,1,Vincent,,
T_P1318,46090,Hicham El Hariri,Roseraie,Plomberie,N°14 : Mme n'a plus d'eau au robinet de la cuisine.,46090,,1,Vincent,,
T_P1319,46093,Hicham El Hariri,Roseraie,Plomberie,Chemin du Bon Dieu N° 24 : changer le robinet,46093,,,Vincent,,
T_P1320,46093,Hicham El Hariri,Roseraie,Entretien général,"N° 23 : (Carrelage de cuisine qui se décolle) 																																										",46093,,,Vincent,,
T_P1323,46097,Hicham El Hariri,Roseraie,Entretien général,N° 16 : fixer la barre de douche,46097,,,Vincent,,
T_P1322,46097,Hicham El Hariri,Roseraie,Entretien général,Chemin du Bon Dieu 20 : la chasse coule,46097,,2,Vincent,,
T_P1325,46098,Hicham El Hariri,Roseraie,Electricité,"N° 24 : le néon de la salle de bain ne fonctionne plus.
Est-il possible de lui remplacer? Merci",46098,,,Vincent,,
T_P1152,45838,Secrétariat général,Roseraie,Jardin / extérieur,"Roseraie 16 - Madame nous informe que 3 sapins sont morts sur le côté de la maison , voir si possible pour les enlever",45838,,,Vincent,,
T_P1236,45968,Secrétariat général,Roseraie,Entretien général,"Etat des lieux de sortie Roseraie 16 - démonter et changer le bac de douche pour trouver la fuite, carrelage douche à changer + lavabo, vinyl chambre à changer, remplacer le WC, peinture: plafonds, murs ,radiateurs et portes intérieures. Changer caches prises et interrupteurs, dalles de terrasse à réparer, repeindre châssis,",45968,,,Vincent,,
T_P1240,45975,Secrétariat général,Roseraie,Entretien général,"Roseraie 18 - Madame ne souhaite pas garder les bacs à fleurs de l'ancienne locataire, les enlever et les jeter",45975,,,Vincent,,
T_P1241,45978,Secrétariat général,Roseraie,Entretien général,Roseraie 32- Planche de rive à l'arrière se détache,45978,,,Vincent,,
T_P1249,45982,Secrétariat général,Roseraie,Entretien général,"Etat des lieux de sortie Roseraie 10 - repeindre les murs, les portes intérieures, les plafonds, les radiateurs, les châssis, changer bac de douche, attention barre porte serviette enlevée car fait sauter les plombs, luminaire face au placard chambre ne fonctionne plus, changer cuvette wc, vérifier certaines prises sont à remplacer car cassées, voir pour souci au plafond du living car peinture s'écaille toujours, changer cuisine, nettoyer terrasse avant et arrière au karcher et refaire les joint si nécessaire",45982,,,Vincent,,
T_P1252,45993,Secrétariat général,Roseraie,Entretien général,"Roseraie 6 - Suite aux travaux réalisés ce jour par SBA chauffage sur le toit, l'isolation dans le plafond est trampée, voir pour changer ",45993,,,Vincent,,
T_P948,45602,Sophie Paternoster,Roseraie,Entretien général,Bon Dieu 20 et Roseraie 29 : les plaques de finition près des conduits de cheminée n'ont pas été repositionnées par SBA car il semble qu'il y ait une infiltration d'eau par le conduit de cheminée. A surveiller lors des prochaines pluies.,45602,1,1,Vincent,,
T_P1309,46072,Sophie Paternoster,Roseraie,Marchandises magasin,"A partir du 24 février, retirer les deux commandes IKEA pour la Roseraie 39 (cuisine + électroménager)",46077,3,2,Vincent,,
T_P1330,46113,Sophie Paternoster,CPAS,Entretien général,Mesurer l'emplacement à prévoir pour les distributeurs (Boissons et confiseries) afin de savoir si on sait les mettre côté à côté à la nouvelle cité administrative (espace disponible 190cm de largeur),46113,1,1,Vincent,,
T_P1329,46113,Sophie Paternoster,CPAS,Entretien général,Venir chercher des cartons (qui se trouve à l'accueil : 2 jeux de 5 cartons) pour les déposer à l'Arbre de Vie (voir Liora : ecobox pour cartouches Xerox),46113,1,1,Vincent,,
T_P1231,45957,Stéphanie Debeil,ILA,Entretien général,remettre de la peinture au 114/4 rue Charles Dupuis,45957,,1,Vincent,,
T_P1315,46084,Stéphanie Debeil,CPAS,Entretien général,"au 114/3 
-Chauffage fonctionne même quand la vanne thermostatique est à zéro.
-Moisissure autour des velux (cuisine/living/chambre/sdb)",46084,,1,Vincent,,
T_P1328,46101,Stéphanie Debeil,CPAS,Entretien général,Disposer les 2 lits bébé qui étaient à la rue Mandart et les mettre au  114/3.,46101,,1,Vincent,,
T_P049,44307,Alexis Passaro,CPAS,Electricité,"WC femme 1er étage - interrupteur à gauche de l'évier défectueux/bloqué. La lumière reste allumée en permanence. D'après moi, l'interrupteur est à remplacer.",44307,1h,1,Ouvriers_ADV,,
T_P056,44309,Alexis Passaro,CPAS,Parc voitures,"Déposer la plaque d'immatriculation et documents (assurance et certificat d'immatriculation) de la nouvelle camionnette du magasin social chez le concessionnaire à CAT Benelux, Rue Alfred Nobel, SN (Parc d'activités Seneffe-Manage), 7180 Seneffe => y aller le jour où on va chercher la commande Carrefour pour le magasin social",44309,15 min,1,Vincent,,
T_P057,44312,Alexis Passaro,CPAS,Sanitaire,Évacuation urinoires 1er étage bouchée,44312,3h45,2,Ouvriers_ADV,,
T_P063,44315,Alexis Passaro,CPAS,Entretien général,Le bras articulé ou les charnières de la porte de secours du service insertion (entre le bureau d'Alexis et de Julie/Thibault) grincent bruyamment. Serait-il possible de graisser ceux-ci? ,44315,1h,2,Vincent,,
T_P093,44361,Alexis Passaro,Magasin,Electricité,"Contrôle BTV au magasin social entre 14h00 et 17h00
Présence d'un ouvrier souhaitée
Agent BTV responsable de la mission : Monsieur Tahon 0473 300 880",44371,3,1,Vincent,,
T_P130,44417,Alexis Passaro,Magasin,Marchandises magasin,Retrait marchandise Carrefour à Nivelles en deux dois :  jeudi matin et vendredi matin ,44420,6h,1,Vincent,,
T_P011,44250,Corinne Buisseret,CPAS,Entretien général,retrait  marchandise charleroi goods to give,44252,3h45,1,Vincent,,
T_P013,44250,Corinne Buisseret,CPAS,Entretien général,retrait marchandises site de Nivelles ,44257,3H45,2,Vincent,,
T_P014,44250,Corinne Buisseret,CPAS,Entretien général,retrait de la palette de casse ,44258,3H,2,Vincent,,
T_P012,44250,Corinne Buisseret,CPAS,Entretien général,retrait stock gratuit carrefour bruxelles vente spéciale,44259,2 jours,2,Vincent,,
T_P027,44265,Corinne Buisseret,CPAS,Parc voitures,dépôt fiat fiorino chez auto it,44271,,1,Vincent,,
T_P036,44281,Corinne Buisseret,Magasin,Entretien général,retrait de mobilier chez un particulier ,44285,,2,Vincent,,
T_P041,44287,Corinne Buisseret,Magasin,Entretien général,retrait de mobilier chez un particulier à la rue des Meuniers 8 à 7973 Stambruges,44299,3h,2,Vincent,,
T_P059,44313,Corinne Buisseret,Magasin,Marchandises magasin,retrait marchandise Nivelles suite à leur mail,44314,3h,2,Vincent,,
T_P087,44348,Corinne Buisseret,Magasin,Entretien général,"passage d'un agent de la SWDE pour compteur bloqué entre 8h et 12h ,je serai avertie 15 min avant le passage de l'agent",44351,,1,Vincent,,
T_P097,44368,Corinne Buisseret,CPAS,Parc voitures,Dépôt de la vw caddy à Charleroi,44382,2,1,Vincent,,
T_P098,44368,Corinne Buisseret,CPAS,Parc voitures,récupération du véhicule à mobilité réduite à Marbais,44384,2H,1,Vincent,,
T_P148,44455,Corinne Buisseret,Magasin,Entretien général,renforcement de la porte avant du garage par l'intérieur pour sécuriser celle-ci qui s'ouvre parfois toute seule,44455,1h,,Vincent,,
T_P152,44463,Corinne Buisseret,Magasin,Marchandises magasin,reprendre 2 caisses de marchandises à la cave du cpas et les déposer à l'épicerie,44463,1h,1,Vincent,,
T_P175,44482,Corinne Buisseret,CPAS,Chauffage,le radiateur ne fonctionne pas dans mon bureau,44482,,1,Vincent,,
T_P177,44483,Corinne Buisseret,Magasin,Entretien général,placement d'un petit boitier à clé au magasin pour y mettre les clés du garage et du chalet ,44484,1 heure,1,Vincent,,
T_P182,44488,Corinne Buisseret,Magasin,Marchandises magasin,"suite aux grèves de Nivelles, nous pouvons aller chercher notre palette de casse ce jeudi",44490,1/2 journée,1,Vincent,,
T_P188,44496,Corinne Buisseret,Magasin,Entretien général,entretien de l'alarme intrusion et incendie à 8h30,44504,2h,1,Vincent,,
T_P194,44497,Corinne Buisseret,Magasin,Marchandises magasin,commande à aller chercher à Nivelles ,44504,4h,2,Vincent,,
T_P196,44498,Corinne Buisseret,Magasin,Marchandises magasin,"exceptionnellement, aller chercher la palette de casse à Nivelles vu a grosse de commande de jeudi",44505,1/2 journée,2,Vincent,,
T_P195,44497,Corinne Buisseret,Magasin,Marchandises magasin,retrait de 2 commandes  goods to give Charleroi,44516,4 h,1,Vincent,,
T_P211,44517,Corinne Buisseret,Magasin,Marchandises magasin,retrait de la commande du 4/11/2021 à Nivelles ,44518,4 h,2,Vincent,,
T_P227,44536,Corinne Buisseret,Magasin,Marchandises magasin,récepption de 7 palettes de produits FEAD,44537,,2,Vincent,,
T_P228,44536,Corinne Buisseret,Magasin,Marchandises magasin,retrait d'une palette de marchandises  Nivelles ,44539,1/2 journée,2,Vincent,,
T_P235,44543,Corinne Buisseret,Magasin,Entretien général,remplacer le distributeur d'esssuies-mains ,44543,,1,Vincent,,
T_P257,44573,Corinne Buisseret,Magasin,Marchandises magasin,prendre la commande  des produits d'entretien de chez Global net à l'arbre de vie pour les déposer à l'épicerie sociale (voir Sabine),44573,1 heure,1,Vincent,,
T_P258,44573,Corinne Buisseret,Magasin,Entretien général,réparation wc épicerie sociale,44573,,1,Vincent,,
T_P280,44606,Corinne Buisseret,Magasin,Marchandises magasin,retrait tmarchandises  Nivelles ,44609,1/2 journée,2,Vincent,,
T_P308,44648,Corinne Buisseret,Magasin,Marchandises magasin,réception de 5 palettes de lait et poulet,44649,44593,3,Vincent,Ouvriers_ADV,
T_P321,44671,Corinne Buisseret,Magasin,Marchandises magasin,retrait de marchandises goods to give Charleroi,44673,,1,Vincent,,
T_P368,44727,Corinne Buisseret,Magasin,Marchandises magasin,Retrait d'une palete de casse Nivelles ,44727,,1,Vincent,,
T_P381,44755,Corinne Buisseret,Magasin,Marchandises magasin,retrait de la marchandise chez carrefour Nivelles ,44756,4 heures ,2,Vincent,,
T_P422,44816,Corinne Buisseret,Magasin,Entretien général,entretien externe pour le frigo mural par Lebrun dès 8 heures ,44816,1,1,Vincent,,
T_P420,44812,Corinne Buisseret,Magasin,Marchandises magasin,retrait de marchandise pour épicerie sociale ,44818,4,2,Vincent,,
T_P440,44838,Corinne Buisseret,Magasin,Marchandises magasin,retrait de la palette de casse pour Nivelles ,44839,4h,1,Vincent,,
T_P439,44838,Corinne Buisseret,Magasin,Marchandises magasin,"réception de 16 palettes avec 3000 litres de lait, 1200 bouteilles d'huile d'olive,céréales, haricots…",44840,1 jour,3,Vincent,,
T_P475,44900,Corinne Buisseret,Magasin,Menuiserie,faire des doubles de clé,44901,,1,Vincent,,
T_P474,44900,Corinne Buisseret,Magasin,Marchandises magasin,"retrait de la marchandise chez carrefour B912 - KONTICH
neerveld 1 - 2550 KONTICH
SITE KUEHNE NAGEL,                                                                               attention, il faut venir chercher un document dans mon bureau",44903,,2,Vincent,,
T_P519,44951,Corinne Buisseret,Magasin,Marchandises magasin,retrait de la marchandise goods to gives charleroi,44952,,1,Vincent,,
T_P533,44966,Corinne Buisseret,Magasin,Marchandises magasin,"éception de 19 palettes de produits FEAD dont 3000 litres de lait, de 1200 boites de tomates...",44973,1 jour,2,Vincent,,
T_P534,44966,Corinne Buisseret,Magasin,Marchandises magasin,"réception de 19 palettes de produits FEAD dont 3000 litres de lait, de 1200 boites de tomates...",44973,1 jour ,1,Ouvriers_ADV,,
T_P574,45013,Corinne Buisseret,Magasin,Marchandises magasin,retrait de la marchandise chez carrefour contic,45014,,2,Vincent,,
T_P603,45057,Corinne Buisseret,Magasin,Marchandises magasin,retrait de la marchandise chez kontic,45061,,2,Ouvriers_ADV,,
T_P751,45315,Corinne Buisseret,Magasin,Marchandises magasin,retrait de la marchandise CHARLEROI,45316,,1,Vincent,,
T_P756,45320,Corinne Buisseret,Magasin,Marchandises magasin,retrait marchandise ,45321,,2,Vincent,,
T_P768,45329,Corinne Buisseret,Magasin,Marchandises magasin,"reception de 15 palettes de produits FEAD dont 2000 litres de lait , 1500 bouteilles d'huile, 1808 boites de haricots,…",45337,1 jour,3,Vincent,,Ouvriers_ADV
T_P789,45376,Corinne Buisseret,Magasin,Marchandises magasin,retrait de la marchandise à Kontick ,45378,,2,Vincent,,
T_P821,45412,Corinne Buisseret,Magasin,Marchandises magasin,RETRAIT DE LA COMMANDE CARREFOUR CHEZ KONTICK,45419,,2,Vincent,,
T_P816,45406,Corinne Buisseret,Magasin,Marchandises magasin,"réception de 12 palettes de marchandises FEAD 1200 paquets de farine , 1500 boites de thon...",45435,1 JOUR ,3,Vincent,,Ouvriers_ADV
T_P860,45470,Corinne Buisseret,Magasin,Marchandises magasin,retrait de la commande GOODS TO GIVE CHARLEROI,45476,,,Vincent,,
T_P881,45488,Corinne Buisseret,Magasin,Marchandises magasin,retrait marchandises chez kontich,45489,,1,Vincent,,
T_P869,45477,Corinne Buisseret,Magasin,Marchandises magasin,réception de palettes de marchandises FEAD qui représentent 420 colis,45502,,3,Vincent,,Ouvriers_ADV
T_P919,45568,Corinne Buisseret,Magasin,Marchandises magasin,17/10/2024 reception de quelques palettes du FEAD,45582,,3,Vincent,,Ouvriers_ADV
T_P939,45600,Corinne Buisseret,Magasin,Marchandises magasin,"RETRAIT DE LA COMMANDE CARREFOR CHEZ KONTIC,",45602,,2,Vincent,,
T_P972,45631,Corinne Buisseret,Magasin,Marchandises magasin,livraison de 3000 litres de lait dès 8h00,45643,,2,Vincent,,
T_P997,45649,Corinne Buisseret,Magasin,Marchandises magasin,retrait marchandise charleroi goods to give ,45660,,1,Vincent,,
T_P989,45645,Corinne Buisseret,Magasin,Marchandises magasin,retrait marchandise  paturages,45665,4,2,Vincent,,
T_P1019,45679,Corinne Buisseret,Magasin,Marchandises magasin,RETRAIT MARCHANDISE CHEZ KONTICK,45684,,2,Vincent,,
T_P1023,45686,Corinne Buisseret,Magasin,Marchandises magasin,retrait de la marchandise GOODS TI GIVE Charleroi,45688,,1,Vincent,,
T_P1050,45712,Corinne Buisseret,Magasin,Marchandises magasin,retrait marchandises Kontic,45714,,2,Vincent,,
T_P1035,45699,Corinne Buisseret,Magasin,Marchandises magasin,"réception de 11 palettes de marchandises FEAD 1200 paquets de farine , 1500 boites de thon, 2000 litres de lait,,,",45722,1j,3,Vincent,,Ouvriers_ADV
T_P1090,45763,Corinne Buisseret,Magasin,Marchandises magasin,retrait de la marchandise carrefour chez kontic,45772,,2,Vincent,,
T_P1100,45775,Corinne Buisseret,Magasin,Marchandises magasin,Retrait de la marchandise goods to give ,45783,,2,Vincent,,
T_P1130,45810,Corinne Buisseret,Magasin,Marchandises magasin,R2CEPTION DE 17 PALETEES FSE,45824,1 JOUR,3,Vincent,Ouvriers_ADV,
T_P1182,45890,Corinne Buisseret,Magasin,Marchandises magasin,retrait de la marchandise chez KONTIC,45895,,2,Vincent,,
T_P1185,45896,Corinne Buisseret,Magasin,Marchandises magasin,"réception de 14 palettes dont 1500 litres de lait, vol au vent…",45911,1 JOUR ,3,Vincent,,
T_P1245,45979,Corinne Buisseret,Magasin,Marchandises magasin,retrait de la marchandise carrefour chez kontic ,45981,,2,Vincent,,
T_P1250,45988,Corinne Buisseret,Magasin,Marchandises magasin,"Réception de palettes de 2250 l  de lait, spaghetti ,,, en tout 11 palettes ",46000,,3,Vincent,Ouvriers_ADV,
T_P003,44237,Evelyne Tacniere,Roseraie,Entretien général,"Chemin du Bon Dieu, 20 - cuisine: éviers bouchés",44237,,0,Vincent,,
T_P010,44249,Evelyne Tacniere,Roseraie,Chauffage,Roseraie 02 - voir chaudière ,44249,,1,Vincent,,
T_P019,44253,Evelyne Tacniere,Roseraie,Electricité,Roseraie 25 - frigo: ampoule à changer,44253,,1,Ouvriers_ADV,,
T_P022,44256,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 08 - Etat des lieux sortant: - détapisser toute la maison + remise en peinture; à changer: flexible douche + pomme douche; décalcariser les filtres des robinetteries; décaper le châssis du velux; changer le filtre de la hotte; refaire le joint autour des plaques électriques; refixer le radiateur de la chambre à coucher; estimer si il faut changer le vinyle de la chambre à coucher; chaufferie: rouille sur le carrelage au niveau du sterput; à l'arrière (extérieur): descente de la gouttière: 2 attaches cassées; Globe mural: cassé sur le côté inférieur droit: à remplacer; à l'avant: devant le débarras: ardoise cassée,44256,,2,Vincent,,
T_P020,44256,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 16 - retirer une barre de tenture et en remettre une autre,44256,,1,Vincent,,
T_P021,44256,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 25 - frigo en panne : à remplacer,44256,,2,Vincent,,
T_P023,44257,Evelyne Tacniere,Roseraie,Sanitaire,Roseraie 29 - WC : chasse coule,44257,,1,Vincent,,
T_P024,44263,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 15 - taches de couleurs sur le sol: à nettoyer,44263,,,Vincent,,
T_P028,44267,Evelyne Tacniere,Roseraie,Chauffage,Roseraie 27 - Cuisine: radiateur ne fonctionne plus,44267,,1,Vincent,,
T_P030,44271,Evelyne Tacniere,Roseraie,Chauffage,Roseraie 27 - radiateurs : hall d'entrée + salle de bain + chambre à coucher ne fonctionnent plus,44271,,1,Vincent,,
T_P032,44272,Evelyne Tacniere,Roseraie,Sanitaire,Roseraie 23 - WC: chasse coule,44272,,1,Vincent,,
T_P035,44280,Evelyne Tacniere,Roseraie,Entretien général,"Chemin du Bon Dieu, 14 - Cuisine: armoir du haut prête à tomber + Four: dénivellé + hotte (estimer si il faut la remplacer)",44280,,1,Vincent,,
T_P034,44280,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 25 - Cuisine: évier bouché,44280,,1,Vincent,,
T_P037,44281,Evelyne Tacniere,Roseraie,Chauffage,Roseraie 06 - eau bouillante ,44281,,1,Ouvriers_ADV,,
T_P039,44287,Evelyne Tacniere,Roseraie,Menuiserie,Chemin du Bon Dieu 18 : porte d'entrée: clenche cassée,44287,,1,Vincent,,
T_P040,44287,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 04 - Toit avant maison : tuile détachée + Cuisine: meuble du haut côté hotte: angle inférieur s'abîme ,44287,,1,Vincent,,
T_P044,44299,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 16 - fixer le miroir par un clou,44299,,1,Vincent,,
T_P046,44300,Evelyne Tacniere,Roseraie,Sanitaire,Chemin du Bon Dieu 26 - WC: chasse bloque + robinet schell coule,44300,,1,Vincent,,
T_P047,44302,Evelyne Tacniere,Roseraie,Chauffage,Roseraie 06 - chaudière : bruyante voir aussi le vase d'expansion ,44302,,1,Vincent,,
T_P051,44308,Evelyne Tacniere,CPAS,,venir chercher une boite d'archive au secrétariat pour l'apporter à l'ACQ service financier (Eddy),44308,,2,Vincent,,
T_P050,44308,Evelyne Tacniere,CPAS,Electricité,inter-étages 1-2: interrupteur lavabo ne fonctionne plus (lampe reste allumée),44308,,1,Vincent,,
T_P053,44309,Evelyne Tacniere,Roseraie,Plomberie,Roseraie 06 - URGENT : Débarras: fuite d'eau après le compteur d'eau,44309,,1,Vincent,,
T_P054,44309,Evelyne Tacniere,Roseraie,Entretien général,Chemin du Bon Dieu 14 - Cuisine: porte du four prête à tomber,44309,,1,Vincent,,
T_P066,44315,Evelyne Tacniere,Roseraie,Plomberie,Chemin du Bon Dieu 14 : Robinet : joint à resserrer,44315,,1,Vincent,,
T_P065,44315,Evelyne Tacniere,Roseraie,Electricité,Roseraie 29 - WC: ampoule à changer (madame a la nouvelle ampoule) Pour info: madame est présente au domicile ce jour jusqu'à 14H15' et demain (vendredi) jusqu'à 11H00',44315,,1,Vincent,,
T_P069,44319,Evelyne Tacniere,CPAS,,CPAS : 8 boites de papier A4:  à remonter de la cave au 2ième étage,44319,,1,Ouvriers_ADV,,
T_P070,44320,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 31 - Salle de bain: machine à laver: remettre de niveau,44320,,1,Ouvriers_ADV,,
T_P075,44326,Evelyne Tacniere,Roseraie,Chauffage,Roseraie 16 - problème chaudière,44326,,1,Ouvriers_ADV,,
T_P078,44333,Evelyne Tacniere,Roseraie,Chauffage,Roseraie 39 - problème au thermostat,44333,,1,Vincent,,
T_P080,44334,Evelyne Tacniere,Roseraie,Plomberie,Chemin du Bon Dieu 18 - Salle de bain: robinets lavabo difficiles à fermer + WC: fuite au joint + Débarras: fuite au tuyau d'eau,44334,,1,Vincent,,
T_P079,44334,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 08 - Radiateur côté jardin: manque une visse - Chaîne de sécurité: cassée - Porte chambre /Salle de bain : ne se ferme pas - Salle de bain : lavabo : voir si fissure ou griffe - Madame demande un peu de couleur grise ,44334,,1,Vincent,,
T_P082,44335,Evelyne Tacniere,Roseraie,Chauffage,"Roseraie 07 - Chaudière : demande d'intervention des Ets BOUVE (Le chauffagiste AREN n'a pas voulu effectuer l'entretien de la chaudière, trop conséquent)",44335,,1,Ouvriers_ADV,,
T_P089,44354,Evelyne Tacniere,Roseraie,Plomberie,Roseraie 27 - Evier cuisine : tuyauterie coule,44354,,1,Vincent,,
T_P094,44362,Evelyne Tacniere,CPAS,Entretien général,Bureau du Président : rentrer l'armoire  qui se trouve dans le couloir,44362,,2,Vincent,,
T_P096,44365,Evelyne Tacniere,Roseraie,Entretien général,Roseraie 27 -  Meuble sous-évier : poubelle : à remplacer,44365,,1,Vincent,,
T_P100,44371,Evelyne Tacniere,Roseraie,Chauffage,Chemin du Bon Dieu 28: Living : petit radiateur : vanne cassée,44371,,1,Vincent,,
T_P099,44371,Evelyne Tacniere,Roseraie,Sanitaire,Chemin du Bon Dieu 28 - Salle de bain: lavabo: changer les filtres,44371,,1,Vincent,,
T_P102,44376,Evelyne Tacniere,Roseraie,Entretien général,Chemin du Bon Dieu 20 - Cuisine : évier bouché,44376,,1,Vincent,,
